marker,university,spanish_level,gender,mother_tongue,n,tokens_total,per_1k,spanish_level_bucket
claro,Vrije Universiteit Brussel,B1,M,fr,12,704,17.045454545454547,lower
claro,Vrije Universiteit Brussel,B2,F,fr,9,1468,6.130790190735695,upper
claro,Vrije Universiteit Brussel,B2,F,nl,9,2033,4.426955238563699,upper
claro,Vrije Universiteit Brussel,C1,F,fr,3,969,3.0959752321981426,upper
claro,Vrije Universiteit Brussel,C2,F,es,13,4875,2.6666666666666665,upper
claro,Vrije Universiteit Brussel,C2,M,es,8,2277,3.5133948177426437,upper
completamente,Univerza v Ljubljani,B2,F,sl,7,17595,0.39784029553850525,upper
completamente,Univerza v Ljubljani,C1,F,sl,1,13120,0.07621951219512195,upper
completamente,Univerza v Ljubljani,C2,F,sl,6,659,9.104704097116844,upper
completamente,Vrije Universiteit Brussel,B1,F,nl,1,4082,0.2449779519843214,lower
completamente,Vrije Universiteit Brussel,B1,M,fr,1,704,1.4204545454545454,lower
completamente,Vrije Universiteit Brussel,B2,F,nl,2,2033,0.9837678307919331,upper
completamente,Vrije Universiteit Brussel,C1,F,fr,1,969,1.0319917440660475,upper
completamente,Vrije Universiteit Brussel,C2,F,es,1,4875,0.20512820512820512,upper
de acuerdo,Universidad de Sevilla,C2,M,es,1,833,1.2004801920768307,upper
de acuerdo,Universita degli Studi di Palermo,A2,F,it,1,540,1.8518518518518519,lower
de acuerdo,Universita degli Studi di Palermo,B1,F,it,2,4299,0.46522447080716445,lower
de acuerdo,Universita degli Studi di Palermo,B2,F,it,4,9519,0.42021220716461816,upper
de acuerdo,Univerza v Ljubljani,B1,F,sl,1,1000,1.0,lower
de acuerdo,Univerza v Ljubljani,B2,F,sl,14,17595,0.7956805910770105,upper
de acuerdo,Univerza v Ljubljani,B2,F,sr,1,376,2.6595744680851063,upper
de acuerdo,Univerza v Ljubljani,C1,F,sl,17,13120,1.295731707317073,upper
de acuerdo,Univerza v Ljubljani,C1,M,mk,2,459,4.357298474945534,upper
de acuerdo,Univerza v Ljubljani,C1,M,sl,1,928,1.0775862068965518,upper
de acuerdo,Univerza v Ljubljani,C2,F,es,1,2942,0.3399048266485384,upper
de acuerdo,Univerza v Ljubljani,C2,F,sl,3,659,4.552352048558422,upper
de acuerdo,Vrije Universiteit Brussel,B1,F,nl,3,4082,0.7349338559529642,lower
de acuerdo,Vrije Universiteit Brussel,B1,M,nl,1,1582,0.6321112515802781,lower
de acuerdo,Vrije Universiteit Brussel,B2,F,fr,1,1468,0.6811989100817438,upper
de alguna forma,Universita degli Studi di Palermo,B2,M,it,1,1321,0.757002271006813,upper
de alguna manera,Universita degli Studi di Palermo,B1,F,it,1,4299,0.23261223540358222,lower
de alguna manera,Univerza v Ljubljani,B2,F,sl,1,17595,0.05683432793407218,upper
de alguna manera,Univerza v Ljubljani,C1,F,sl,2,13120,0.1524390243902439,upper
de alguna manera,Vrije Universiteit Brussel,B1,F,ro,1,535,1.8691588785046729,lower
de alguna manera,Vrije Universiteit Brussel,C2,F,es,2,4875,0.41025641025641024,upper
de hecho,Universidad de Sevilla,C2,F,es,1,2332,0.4288164665523156,upper
de hecho,Universita degli Studi di Palermo,A2,F,it,1,540,1.8518518518518519,lower
de hecho,Universita degli Studi di Palermo,B1,F,it,1,4299,0.23261223540358222,lower
